facilityName,Sido,Sigungu,eupmyondong,fullAddress,latitude,longitude,phoneNumber,websiteUrl,midTempCode,midWeatherCode,x,y
패러글라이딩 체험 센터,경상북도,포항시,흥해읍,경상북도 포항시 북구 흥해읍 해안로 1366-42,36.1311275,129.3988102,0507-1490-1335,https://0333721119.qshop.ai/,11H10201,11H10000,102,94
광주패러글라이딩,광주광역시,북구,문흥동,광주광역시 북구 문산로74번길 24,35.1870963,126.9260772,0507-1431-5058,,11B20702,11F20000,96.0,76.0
대구활공랜드,대구광역시,달성군,현풍읍,대구광역시 달성군 현풍읍 비슬로134길 125,35.6968497,128.4446055,053-755-1336,http://smartstore.naver.com/jejuskylab,11H10701,11H10000,86.0,88.0
대구 패러글라이딩,대구광역시,달성군,현풍읍,대구 달성군 현풍읍 국가산단대로70길 41,35.6625303,128.4202218,0507-1467-0305,http://cafe.daum.net/jejulovepara,11H10701,11H10000,86.0,88.0
빅버드 패러글라이딩 스쿨,대구광역시,달성군,현풍읍,대구 달성군 현풍읍 오산리 28,35.6892333,128.4174415,010-8949-0540,http://paratv.co.kr,11H10701,11H10000,86.0,88.0
블루윙스,대구광역시,수성구,상동,대구광역시 수성구 수성로 24,35.8276114,128.6108293,0507-1404-8277,https://smartstore.naver.com/paratv/products/11730842270,11H10701,11H10000,89.0,90.0
대전패러글라이딩 휘파람새스쿨,대전광역시,동구,판암동,대전광역시 동구 동부로 86,36.3218882,127.4619519,0507-1403-8058,https://smartstore.naver.com/koreaparagliding,11H10701,11H10000,98.0,75.0
부산 패러글라이딩학교,부산광역시,금정구,구서동,부산광역시 금정구 금정로 224,35.2437715,129.0905587,051-515-6870,http://www.paracamp.com,11H20201,11H20000,98.0,77.0
레저월드,부산광역시,남구,용당동,부산광역시 남구 신선로 406,35.1213657,129.0993342,051-628-3855,http://www.phpara.com/,11H20201,11H20000,98.0,75.0
항공시대,서울특별시,동대문구,용두동,서울 동대문구 왕산로22길 69,37.5759102,127.0320139,02-929-9296,https://para114.com,11B10101,11B00000,61.0,127.0
서울 패러글라이딩,서울특별시,송파구,오금동,서울 송파구 동남로29길 11,37.5051499,127.1374938,02-3401-9322,https://para114.com/,11B10101,11B00000,62.0,126.0
플라이포커스 패러글라이딩 스쿨,서울특별시,중구,을지로동,서울특별시 중구 을지로 227 훈련원공원,37.5673407,127.0037725,02-2679-8049,http://www.flyhighpara.com/,11B10101,11B00000,60.0,127.0
울산패러파크,울산광역시,울주군,두서면,울산 울주군 두서면 찻골로 219 울산패러파크,35.631438,129.1265395,0507-1347-7894,http://oceanpara.com/,11H20101,11H20000,101.0,84.0
곡성 패러글라이딩,전라남도,곡성군,오곡면,전남 곡성군 오곡면 덕산리 123-6,35.2667244,127.3087106,010-5847-7448,,11F20602,11F20000,66.0,77.0
구례 지리산 패러글라이딩,전라남도,구례군,구례읍,전남 구례군 구례읍 봉동길 41,35.2099595,127.4720667,1599-2556,http://hcpp.kr,11F20601,11F20000,69.0,75.0
담양 패러글라이딩,전라남도,담양군,창평면,전남 담양군 창평면 유천길 163,35.2188356,127.020839,0507-1364-3332,,11F20504,11F20000,61.0,78.0
여수 국가대표 패러글라이딩,전라남도,여수시,만흥동,전남 여수시 망양로 225 여수국가대표패러글라이딩,34.7744133,127.7446544,0507-1412-6541,,11F20401,11F20000,73.0,66.0
군산패러글라이딩스쿨,전라북도,군산시,성산면,전라북도 군산시 성산면 마동1길 5-22,35.9960451,126.7830315,010-8643-9848,http://www.bluehawk.kr,21F10501,11F10000,56.0,92.0
무주패러글라이딩F1,전라북도,무주군,무주읍,전라북도 무주군 무주읍 내도로 373-30,36.0311845,127.6422077,0507-1474-8859,http://www.nanosky.co.kr/,11F10302,11F10000,72.0,93.0
전주패러글라이딩,전라북도,완주군,구이면,전북 완주군 구이면 덕평로 209 1동 2호,35.7416374,127.1416595,0507-1368-4151,https://smartstore.naver.com/dyparacom,11F10204,11F10000,63.0,89.0
제주스카이랩,제주특별자치도,제주시,노형동,제주특별자치도 제주시 월산북길 77,33.4735526,126.4627945,010-4498-2676,http://www.para1.co.kr,11G00201,11G00000,53.0,38.0
제주하늘을날다,제주특별자치도,제주시,도남동,제주특별자치도 제주시 도남로17길 32,33.491123,126.531661,010-9632-0422,https://parastory.co.kr,11G00201,11G00000,53.0,38.0
제주바다하늘패러투어,제주특별자치도,제주시,한림읍,제주 제주시 한림읍 한창로 1295,33.3568837,126.2968554,010-3692-7345,http://thessenpara.com,11G00201,11G00000,53.0,38.0
대천국가대표패러글라이딩,충청남도,보령시,남포면,충청남도 보령시 남포면 창동1길 119-9,36.3198597,126.6125812,0507-1403-8364,https://smartstore.naver.com/danyang/products/2019173636,11C20201,11C20000,54.0,100.0
대천 패러글라이딩,충청남도,보령시,남포면,충남 보령시 남포면 창동리 224-1,36.3201339,126.6121289,010-3045-2389,https://smartstore.naver.com/dytogopara/,11C20201,11C20000,54.0,100.0
다빈치 동력패러,충청남도,보령시,남포면,충남 보령시 남포면 삼현소송길 17,36.3089229,126.5631436,0507-1447-7680,http://sbpara.com/,11C20201,11C20000,54.0,100.0
보령활공랜드,충청남도,보령시,남포면,충남 보령시 남포면 창동1길 119-7 1층,36.3196917,126.612491,0507-1376-7403,https://sunpara.co.kr,11C20201,11C20000,54.0,100.0
플라이하이 패러글라이딩스쿨,충청남도,청양군,정산면,충청남도 청양군 정산면 서정산정말길 13-3,36.4059695,126.9434252,0507-1408-8674,https://www.instagram.com/namhae_parago/#,11C20502,11C20000,57.0,103.0
단양청춘패러,충청북도,단양군,가곡면,충청북도 단양군 가곡면 두산길 262,37.0022414,128.40072,010-6548-8226,https://www.instagram.com/sann_paragliding/,11C10202,11C10000,84.0,115.0
단양패러명가,충청북도,단양군,가곡면,충청북도 단양군 가곡면 두산길 254-6,37.0016315,128.4007413,0507-1348-3326,https://blog.naver.com/leenwpower,11C10202,11C10000,84.0,115.0
스카이패러,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-52 스카이패러,36.9961876,128.3966743,0507-1463-2688,https://smartstore.naver.com/ulsanparapark,11C10202,11C10000,84.0,115.0
코리아패러글라이딩,충청북도,단양군,가곡면,충청북도 단양군 가곡면 두산길 252,37.0014344,128.3998919,0507-1306-1162,,11C10202,11C10000,84.0,115.0
단양패러마을,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-52 단양패러마을,36.9962448,128.396702,010-4412-3326,https://flyingland.co.kr,11C10202,11C10000,84.0,115.0
패러일번지,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-86,36.9946004,128.3945166,0507-1409-2688,https://open.kakao.com/o/s71aZmKd,11C10202,11C10000,84.0,115.0
패러이야기,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-86 카페산제2주차장,36.9946004,128.3945166,0507-1430-2327,http://jirisanpara.co.kr/,11C10202,11C10000,84.0,115.0
더쎈패러글라이딩,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 262 더쎈패러글라이딩,37.0022414,128.40072,0507-1319-2676,http://rsound.dmcart.gethompy.com/,11C10202,11C10000,84.0,115.0
패러에반하다,충청북도,단양군,가곡면,충북 단양군 가곡면 사평리 246-30,36.9942555,128.3948729,010-5822-9598,https://blog.naver.com/daegupara,11C10202,11C10000,84.0,115.0
단양 투고패러글라이딩,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 262 투고패러글라이딩,36.9999981,128.3987026,0507-1432-0824,https://smartstore.naver.com/skylandinc,11C10202,11C10000,84.0,115.0
썬패러글라이딩,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-86 (주)썬패러글라이딩,36.9965305,128.3967963,0507-1489-7954,https://smartstore.naver.com/przzang/products/2585675799,11C10202,11C10000,84.0,115.0
카페산 패러글라이딩,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-86,36.9946004,128.3945166,0507-1471-0456,,11C10202,11C10000,84.0,115.0
단양 패러글라이딩,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-54 패러마을,36.9962448,128.396702,010-7150-3326,https://www.gspara.com/,11C10202,11C10000,84.0,115.0
짱패러글라이딩,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 254-6,37.0016315,128.4007413,0507-1308-2633,https://cafe.naver.com/para2013,11C10202,11C10000,84.0,115.0
패러는내친구,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-52,36.9965887,128.3966719,010-5310-5579,https://blog.naver.com/djr001,11C10202,11C10000,84.0,115.0
두산행복마을 협동조합,충청북도,단양군,가곡면,충북 단양군 가곡면 두산길 196-86 두산행복마을(패러일번지),36.9940625,128.3946828,010-7481-0079,https://www.bigbirdpara.co.kr/,11C10202,11C10000,84.0,115.0
단양레저,충청북도,단양군,단양읍,충청북도 단양군 단양읍 수변로 71-1,36.9818301,128.370703,043-423-4123,https://blog.naver.com/l0533l,11C10202,11C10000,84.0,115.0
단양패러,충청북도,단양군,단양읍,충북 단양군 단양읍 별곡10길 3,36.9835446,128.3704599,0505-515-7788,http://daecheon-para.co.kr/,11C10202,11C10000,84.0,115.0
드림레저 패러글라이딩,충청북도,단양군,단양읍,충청북도 단양군 단양읍 수변로 59-1,36.9808638,128.3704035,0507-1368-0083,http://para79.kr,11C10202,11C10000,84.0,115.0
스카이랜드 패러글라이딩,충청북도,단양군,단양읍,충북 단양군 단양읍 수변로 65 1층,36.9812864,128.3705687,0507-1421-0542,,11C10202,11C10000,84.0,115.0
청풍스카이랜드 패러글라이딩,충청북도,제천시,청풍면,충북 제천시 청풍면 문화재길 166-1 산 2-3,37.0080975,128.1457143,0507-1349-0568,http://cafe.naver.com/cjpara,11C10201,11C10000,81.0,118.0
청주패러학교,충청북도,청주시,흥덕구,충북 청주시 흥덕구 가로수로 1336,36.6327487,127.4417174,010-7330-2626,,11C10301,11C10000,67,106
